Poem Name,Poet,Line,Metaphor present or not,count of the metaphor,metaphorical terms, Meaning
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,වෙන්නට ඉස්සර,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,පන්ඩිතකම් පොලු පහර වැදී,ඔව්,1,පන්ඩිතකම් පොලු පහර වැදී,පන්ඩිතකම පොලු පහරක් වගේ
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"දරදඬු වී මහ ශිෂ්ටාචාරය, බොල්",නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"පොලොව බදා ගෙන වැතිරී,",නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,සීතල හෙලුවැලි,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,මලකඳක් ලෙසින්,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ඉදිමෙයි පිපිරෙයි කුනුවෙයි.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,දවසින් දවසට දුගඳ හමයි.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ගැලවෙන්න අඳුරින්,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,වැඩක් නෑ දඟලන්න;,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,කිමිදින්න සොය සොයා,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,පතුලටම ජීවිතේ,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,මරනයේ ගල්පරේ.,ඔව්,1,මරනයේ ගල්පරේ.,මරණය නමැති ගල්පරය
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"පබලු මුතු තිබිය දී,",නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,හැපෙන තුරු හිස් මොලේ,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,හැම දවස කෝටුවෙන්,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"බැලුව හොත් අවුස්සා,",නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,පඬි කටින් ඇද හැලෙන,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,මෝඩ බස් මැනික් ගල්,ඔව්,1,මෝඩ බස් මැනික් ගල්,මෝඩ බස් මැණික් ගල් වගේ
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,සිය දහස් ඉලිප්පෙයි;,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"බැලුව හොත් හූරලා,",නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ඇතුල ඔකොම හිස්.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"මා තුල රැකෙනා අගනා වස්තුව,",නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"මා ප්‍රේමය ,",නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ගෙල මිරිකා එය මරා දමමි මම,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ඉමක් කොනක් නැති මුසාව හින්දා,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,පසු පස හරවමි ආලෝකෙට මම,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,අන්ධකාරයේ දිවිය රකින්නට,ඔව්,1,අන්ධකාරයේ දිවිය රකින්නට,ජීවිතය අන්නධකාරයකි 
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"ඉර හඳ ඇති තෙක් හැක, කල් ඇත.",නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,හීන බලා අලුයම උපදින කොට,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,බලාපොරොත්තුව ලේ දන් දීමට.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,මේ මොහොතේ,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,මගෙ එකම සිහිනයේ,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,මගෙ හදවත යන විට පියඹා,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ජිවිතයේ ගස් ගල් අතරින් ආ,ඔව්,1,ජිවිතයේ ගස් ගල්,ගස් ගල් වැනි ජීවිතය
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,වෙඩි පහර වැදී,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,නිහඬව ඇද වැටුනා පොලවේ;,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ගැහෙනව තවමත් හදවත තුල පන,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,මැරෙන්න තවමත් ඇයි අකැමැති ඔය,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ගලා බසින පෙම් ලේ දහරාවෙන්,ඔව්,1,ගලා බසින පෙම් ලේ දහරාවෙන්,ප්‍රේමය ලේ දහරාවක් ගලා යනවා වගේ
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,යැපෙන්න නැත. පෙම්වතියන් ඔබ ලඟ,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,නයට ගත්ත පැල් පතකි අතීතය;,ඔව්,1,නයට ගත්ත පැල් පතකි අතීතය;,ඒ තුල මිනියයි මල ඉතිහාසය;
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ගන අඳුරයි. එහි ඇති ආලෝකය;,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ඒ තුල මිනියයි මල ඉතිහාසය;,ඔව්,1,මිනියයි මල ඉතිහාසය;,ඉතිහාසය මැරුණු මිනිසෙක් වගේ
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,මිනිය වටේ ඉඳගෙන වැලපෙනවා.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,හිනැහෙනවා කොක්හඬ ලනවා.,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,ගන වල් ගිරි දුදුරු සෙවුනා විපුල් වන,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,යුද ලොල් රදුන් සිළු මල් ගිහිණි ගල්වන,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,මනකල් මෙරද සරණත තඹර තුල්වන,ඔව්,1,තඹර තුල්වන,පතුල් නැමැති නෙළුම්
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,නියමල් කිළුටු  කළ පමණෙකි‍ නිමල් වන,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,පුවතර සව් සිරින් තර ලොවට පත් මුදුන්,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,නඳකර යදි දනන් මෙන් සුරබි නව නදුන්,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,මනහර බසින් විලසින් හෙබි මෙනරනිඳුන්,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,අවසර රැගත් සිරිපා තඹර දී  මුදුන්,ඔව්,1,අවසර රැගත් සිරිපා තඹර දී මුදුන්,අවසර රැගත් පා පතුල්
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,නුබ මිණි අලුත් වන වනකත් අතු අතින,ඔව්,1,වනකත්,කැලය නමැති කාන්තාව
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,ලඹ මල් කැනති සෙමෙරින් විඳ විඳ පවන,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,දොඹ අතු සෙවණ තුරු සැතපී ඉඳ යෙනෙන,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,නු ඹ සිතු ලෙස මිතුරිඳු එතැනින් වඩන,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,පෙරදිගඟන දිවයුරු රන් දපණ තල,ඔව්,1,පෙරදිගඟන,පූර්ව දිශාව නමැති කාන්තාව
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,ගත රළතින් දලනිඳු වසන්තින් නිල,ඔව්,1,රළතින්,රැල්ල නමැති අතින්
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,නෙත නිදි දැහැ සිහි කැර තුනුරුවන් බල,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,ලැගි නිවෙසින් නැඟි සිට කැර පිය සසල,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,සමනොළ ගිරි ගිජිඳු දිය ගනුව සමුදුර,ඔව්,1,සමනොළ ගිරි ගිජිඳු,සමනල කන්ද නැමැති හස්තියා
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,දිගු කළ සලෙළ දිගු සොඬ සිරි පෑ නිතර,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,රැළි රළ පෙළින් බබළන කළු ගඟි නෙතෙර,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,ඔළ මොළ නොවී පවතින් කර පියාසර,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,මදන දුවන් නිවෙසට වදින දින පෙර,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,දුලන වටොර රන් රඹ කඳ අග සොඳුර,ඔව්,1,වටොර රන් රඹ,රත්තරන් කෙසෙල් කඳක් වගේ
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,රඳ න ට කළ වැටුපෙව් දඟිනි මනහර,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,සිටින දෙතෙර ළද අඟනන් බල මිතුර,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,දිගු කර තරඟ අත් බැම බමර බැම නිතින්,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,ඉඳුවර නුවනයා හස කර තඹර වතින්,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,සිය කර හිමිහු දැක රඟනෙව් විලඹු මනින්,ඔව්,1,සිය කර හිමිහු,සූර්යයා නමැති හිමියා
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,මම් තුර එසඳ වඩනේ මැනැවි ගුවනතින්,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,පිය කර ලකර වන තම ගතට ඇම කලී,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,නිය තම දැන සිඳි බව පියුමන් එකලී,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,සිය හිමිහට කියනුව විල්කත් සසලී,ඔව්,1,විල්කත්,විල නමැති කාන්තාව
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,සිය පත් අතින් ගණනෙව් පෙතියෙන් ඇඟිලි,ඔව්,1,සිය පත් අතින්,නෙළුම නැමැති හස්තය
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,පැළ දිගු සුනිල් මිණිතර යුතු බිතෙහි ලබා,ඔව්,1,පැළ දිගු බිතෙහි ,බස්නාහිර දිශාව නමැති බිත්තිය
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,පළ පැහැ පළොල් වන් මිණි තල් වැටෙක සුබා,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,අළ සඳ අසඳ බිඹු සොඳ සපිරි සිහිලඹා,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,කෙළ අවසන පත් වත පියඹ ලෙස ලොබා,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,ස ඳ වෙල වසන් නිලඹර මුහු ලසිනි බඳ,ඔව්,1,ස ඳ වෙල වසන්,සන්ධ්‍යා වලා නැමැති වස්ත්‍රය
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,සොඳ පෙරදිගු දිගුනෙත සැදි නළල් මැද,ඔව්,1,පෙරදිගු දිගුනෙත,පූර්ව දිශාව නමැති ඇස්
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,ස ඳ න තලාවට සිරි ගත සුපුන් සඳ,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,රද වී මිතුර අබෝ වෙහෙර මනනඳ,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,පෙරගිරි නිරිඳු පැහැසර දිගු රැහැන ගෙන,ඔව්,1,පෙරගිරි නිරිඳු,නැගෙනහිර දිශාව නැමැති රජු
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,හළ නිළඹරෙහි ගනරනහස්පතක් මෙන,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,බබළත ළහිරු මොහොතක් මුනි ගුණ මෙනෙන,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,සිහි කැර නැමැද යාගත් සෙද ගුවනතින,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,නුබසා මඬුලු සඳවෙල ළපලු පැහැ පත,ඔව්,1,නුබසා මඬුලු,අහස නැමැති ශාඛා මණ්ඩලය
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,උදයග රුක සඳ මල් කැනෙක සිරි ගත,ඔව්,1,උදයග රුක,උදය ගිරි පර්වතය නමැති රුක්ෂය
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,කර පතරින් සඳදර තර පහර දෙත,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,දිවගත එව් බියෙ නැළලෙමිනි දස අත,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,පෙර දිගු සර සැපත් දිවයුරු රනතිසර,ඔව්,1,දිවයුරු රනතිසර,සූර්යයා නැමැති රන හංසයා
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,තර සර තුඩින් ගනඳර සෙවෙලදන වර,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,හැර නෙත නිදි නැඟි සිට මිතුරිඳු එවර,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,වර මුනිගුණ සිහි කැර වඩන  මගතුර,නැත,0,,
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,එපු ර  ලිය සරල් දිගු නිල් වරල් වලේ,ඔව්,1,සරල් දිගු නිල් වරල්,දිග නිල් කෙස් නමැති කැලෑව
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,තඹ ර වුවන් මදහස පනැද මන කලේ,ඔව්,1,තඹ ර වුවන්,නෙළුම් නැමැති මුහුණ
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,සම ර සබර සලෙළුන් සිත් මියුල් කැලේ,ඔව්,1,සලෙළුන් සිත් මියුල්,කෙළිලොල් වූවන්ගේ සිත් නමැති මුව රංචුව
පරෙවි සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,නොහැර විද ඇවිදි සර පසිනි ඇම කලේ,නැත,0,,
